tithi,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
SHUKLA_DVADASHI,14,0.0011648981591621007,-0.042513946519285854,0.15501459759952457,0.2330571021085296,-0.2283441520024744,42.857142857142854,6,8,83.80714285714281,38.00051815982068,21.3278896714018,40.67159216877753,59.792052475839846,34.5821428571427,49.2250000000001,57.14285714285714,42.857142857142854
SHUKLA_ASHTAMI,7,-0.0107881520016799,-0.0240131824091138,0.08693598276305677,0.1086839288825497,-0.1070564044371553,42.857142857142854,3,4,43.85714285714338,41.13500424884752,24.20752751731727,34.6574682338352,47.84419892838189,17.22142857142847,26.635714285714908,0.0,100.0
SHUKLA_PRATIPADA,10,-0.05282633473021592,-0.044679627897673005,0.2514482507262346,0.4552465451707183,-0.5052500087896603,40.0,4,6,83.08500000000022,45.155274530808256,26.58347400139173,28.26125146780002,44.665471530763284,35.31499999999905,47.77000000000116,40.0,60.0
KRISHNA_PANCHAMI,16,0.004976895419435155,-0.0561213235812414,0.3302502878965408,0.9795931909563922,-0.4179062492008391,37.5,6,10,107.73749999999973,41.84099873170928,30.639780280595275,27.519220987695455,43.80100627609625,57.22187500000018,50.515624999999545,81.25,18.75
SHUKLA_TRITIYA,19,-0.011544799108389923,-0.0271469216653356,0.14913505991452927,0.3446630032143296,-0.2879673932305511,36.84210526315789,7,12,65.23947368421106,44.26800297242947,25.334846847892535,30.39715017967799,49.0708484698986,27.99473684210534,37.24473684210572,36.84210526315789,63.1578947368421
KRISHNA_NAVAMI,19,-0.0696794038748559,-0.0336243854389136,0.3483434273260481,0.5104695358550952,-0.9941301928591928,36.84210526315789,7,12,98.48684210526316,54.39362023211757,17.015943561589012,28.590436206293422,51.29114921790232,35.95789473684214,62.528947368421015,68.42105263157895,31.57894736842105
KRISHNA_PRATIPADA,14,-0.11622033375880865,-0.09410503992146735,0.23424074965930874,0.2246046894609635,-0.6605761888810984,35.714285714285715,5,9,95.18571428571366,49.43852237710362,30.131660150230044,20.429817472666336,34.96721608478858,40.18214285714229,55.00357142857138,64.28571428571429,35.714285714285715
SHUKLA_CHATURDASHI,12,-0.08988403068542633,-0.0952177419615203,0.3430966388748966,0.451812579281414,-0.79404664945144,33.33333333333333,4,8,119.42083333333419,50.08920283061045,13.894974428041165,36.01582274134839,53.54784592077639,38.84583333333406,80.57500000000012,83.33333333333334,16.666666666666664
KRISHNA_ASHTAMI,13,-0.040401892928033825,-0.1277382123134418,0.21324189603993515,0.3240802921921747,-0.3359060323304118,30.76923076923077,4,9,74.97307692307648,58.77600957606114,18.452610687997886,22.771379735940968,44.05048505839996,31.130769230769566,43.84230769230691,61.53846153846154,38.46153846153847
PURNIMA,7,-0.053936135453556924,-0.0509091667796852,0.25788679958225236,0.3896963615849257,-0.368227903215771,28.57142857142857,2,5,82.5,55.39505119088916,22.57267502207453,22.032273787036296,43.219975790745714,34.785714285714285,47.714285714285715,57.14285714285714,42.857142857142854
SHUKLA_NAVAMI,7,-0.16764940597424877,-0.1544012719823356,0.19885684279609991,0.1271223407128081,-0.3835890247922918,28.57142857142857,2,5,79.67142857142919,60.71144240550064,18.088010061079824,21.20054753341954,32.18887315571531,18.649999999999896,61.0214285714293,42.857142857142854,57.14285714285714
AMAVASYA,8,-0.04150917142563315,-0.047993304552088195,0.10277572977538534,0.1533156057836191,-0.1590587391624205,25.0,2,6,64.76875000000018,33.25832630321522,30.78591836746734,35.95575532931744,42.024635612182514,26.40625,38.36250000000018,25.0,75.0
KRISHNA_DASHAMI,18,-0.09927514388427265,-0.11403076702285761,0.24752708742876622,0.4553681143326867,-0.5012332779500304,22.22222222222222,4,14,87.93333333333369,50.7298823032835,26.35908235989381,22.91103533682269,38.277441617268764,33.69722222222218,54.23611111111151,61.111111111111114,38.88888888888889
SHUKLA_SHASHTHI,6,-0.08038227741005576,-0.0583669301160147,0.19608037245120968,0.1783658891634695,-0.4245385381968805,16.666666666666664,1,5,94.22500000000097,33.650103686239994,30.52763986394255,35.82225644981745,43.20145813048929,33.683333333332484,60.54166666666848,66.66666666666666,33.33333333333333
