date,open,high,low,close,volume
2026-06-09 12:00:00+05:30,23181.3,23204.5,23179.4,23185.1,0
2026-06-09 12:05:00+05:30,23185.85,23187.35,23176.9,23178.05,0
2026-06-09 12:10:00+05:30,23176.9,23189.95,23176.5,23187.65,0
2026-06-09 12:15:00+05:30,23186.9,23198.85,23184.65,23198.6,0
2026-06-09 12:20:00+05:30,23197.95,23209.4,23193.65,23198.5,0
2026-06-09 12:25:00+05:30,23197.85,23207.15,23195.15,23205.3,0
2026-06-09 12:30:00+05:30,23205.95,23224.7,23201.45,23219.35,0
2026-06-09 12:35:00+05:30,23218.7,23226.65,23212.35,23217.6,0
2026-06-09 12:40:00+05:30,23216.8,23222.45,23196.75,23207.4,0
2026-06-09 12:45:00+05:30,23207.7,23219.35,23201.9,23203.25,0
2026-06-09 12:50:00+05:30,23203.2,23208.55,23190.45,23199.25,0
2026-06-09 12:55:00+05:30,23197.45,23199.7,23177.5,23181.4,0
2026-06-09 13:00:00+05:30,23181.15,23203.4,23181.15,23193.65,0
2026-06-09 13:05:00+05:30,23192.55,23201.55,23185.1,23187.3,0
2026-06-09 13:10:00+05:30,23186.6,23212.05,23185.7,23208.75,0
2026-06-09 13:15:00+05:30,23208.05,23223.2,23198.9,23203.85,0
2026-06-09 13:20:00+05:30,23202.85,23207.5,23193.9,23200.0,0
2026-06-09 13:25:00+05:30,23199.9,23205.85,23194.25,23204.65,0
2026-06-09 13:30:00+05:30,23203.85,23206.5,23186.8,23200.65,0
2026-06-09 13:35:00+05:30,23200.75,23216.95,23195.1,23215.4,0
2026-06-09 13:40:00+05:30,23216.0,23222.25,23202.05,23218.65,0
2026-06-09 13:45:00+05:30,23218.4,23220.45,23202.1,23206.65,0
2026-06-09 13:50:00+05:30,23206.25,23210.1,23192.05,23192.95,0
2026-06-09 13:55:00+05:30,23192.35,23197.05,23175.3,23189.65,0
2026-06-09 14:00:00+05:30,23188.7,23191.0,23178.45,23187.0,0
2026-06-09 14:05:00+05:30,23186.6,23208.8,23185.9,23208.0,0
2026-06-09 14:10:00+05:30,23207.2,23218.65,23204.3,23206.05,0
2026-06-09 14:15:00+05:30,23207.35,23212.05,23199.7,23206.05,0
2026-06-09 14:20:00+05:30,23205.4,23206.8,23187.3,23195.15,0
2026-06-09 14:25:00+05:30,23195.4,23217.05,23194.9,23216.85,0
2026-06-09 14:30:00+05:30,23214.95,23217.45,23203.0,23216.5,0
2026-06-09 14:35:00+05:30,23216.65,23242.95,23207.55,23241.45,0
2026-06-09 14:40:00+05:30,23241.55,23261.15,23238.15,23251.15,0
